id,branch_id,category_id,name,description,price_paise,retailer_id,image_url,food_type,is_available,is_bestseller,sort_order,item_group_id,variant_type,variant_value
i0000000-0000-0000-0000-000000000018,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000003,Chicken Dum Biryani,Tender chicken with saffron-infused basmati and caramelised onions.,48000,SR-biryani-chicken-full,https://placehold.co/400x400/b45309/ffffff?text=Chicken+Biryani,non_veg,true,true,4,g0000000-0000-0000-0000-000000000006,size,Full
i0000000-0000-0000-0000-000000000019,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000003,Mutton Dum Biryani,Slow-cooked mutton on the bone with aromatic basmati. A royal feast.,62000,SR-biryani-mutton-full,https://placehold.co/400x400/92400e/ffffff?text=Mutton+Biryani,non_veg,true,false,5,,,
i0000000-0000-0000-0000-000000000020,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000003,Jeera Rice,Steamed basmati rice tempered with cumin seeds and ghee. Simple perfection.,12000,SR-biryani-jeera-rice,https://placehold.co/400x400/ca8a04/ffffff?text=Jeera+Rice,veg,true,false,6,,,
i0000000-0000-0000-0000-000000000021,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000004,Butter Naan,Soft tandoor-baked flatbread brushed with butter. Classic and irresistible.,5000,SR-breads-butter-naan,https://placehold.co/400x400/d97706/ffffff?text=Butter+Naan,veg,true,false,1,,,
i0000000-0000-0000-0000-000000000022,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000004,Garlic Naan,Fluffy naan topped with minced garlic and coriander baked to golden perfection.,6000,SR-breads-garlic-naan,https://placehold.co/400x400/d97706/ffffff?text=Garlic+Naan,veg,true,false,2,,,
i0000000-0000-0000-0000-000000000023,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000004,Tandoori Roti,Whole wheat bread baked in clay oven. Light healthy goes with everything.,4000,SR-breads-tandoori-roti,https://placehold.co/400x400/d97706/ffffff?text=Tandoori+Roti,veg,true,false,3,,,
i0000000-0000-0000-0000-000000000024,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000004,Lachha Paratha,Multi-layered flaky whole wheat paratha with a buttery crispy exterior.,7000,SR-breads-lachha-paratha,https://placehold.co/400x400/d97706/ffffff?text=Lachha+Paratha,veg,true,false,4,,,
i0000000-0000-0000-0000-000000000025,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000004,Peshwari Naan,Stuffed naan filled with coconut almonds and raisins. Sweetly exotic.,9000,SR-breads-peshwari-naan,https://placehold.co/400x400/d97706/ffffff?text=Peshwari+Naan,veg,true,false,5,,,
i0000000-0000-0000-0000-000000000026,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000005,Gulab Jamun,Soft milk-solid dumplings soaked in rose-cardamom sugar syrup. Served warm.,10000,SR-desserts-gulab-jamun-2pc,https://placehold.co/400x400/f59e0b/ffffff?text=Gulab+Jamun,veg,true,true,1,g0000000-0000-0000-0000-000000000007,pack,2 Pieces
i0000000-0000-0000-0000-000000000027,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000005,Gulab Jamun,Soft milk-solid dumplings soaked in rose-cardamom sugar syrup. Served warm.,18000,SR-desserts-gulab-jamun-4pc,https://placehold.co/400x400/f59e0b/ffffff?text=Gulab+Jamun,veg,true,true,2,g0000000-0000-0000-0000-000000000007,pack,4 Pieces
i0000000-0000-0000-0000-000000000028,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000005,Mango Kulfi,Traditional Indian ice cream with condensed milk and fresh Alphonso mango. Creamy and rich.,14000,SR-desserts-mango-kulfi,https://placehold.co/400x400/f59e0b/ffffff?text=Mango+Kulfi,veg,true,false,3,,,
i0000000-0000-0000-0000-000000000029,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000005,Rasmalai,Cottage cheese patties soaked in chilled saffron-infused cream. A Bengali delicacy.,16000,SR-desserts-rasmalai,https://placehold.co/400x400/f59e0b/ffffff?text=Rasmalai,veg,true,false,4,,,
i0000000-0000-0000-0000-000000000030,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000005,Kheer,Slow-cooked rice pudding with cardamom saffron and toasted nuts.,12000,SR-desserts-kheer,https://placehold.co/400x400/f59e0b/ffffff?text=Kheer,veg,true,false,5,,,
i0000000-0000-0000-0000-000000000031,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000006,Mango Lassi,Thick blended yoghurt with fresh Alphonso mango pulp. Chilled and refreshing.,12000,SR-bev-mango-lassi-reg,https://placehold.co/400x400/0ea5e9/ffffff?text=Mango+Lassi,veg,true,true,1,g0000000-0000-0000-0000-000000000008,size,Regular (300ml)
i0000000-0000-0000-0000-000000000032,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000006,Mango Lassi,Thick blended yoghurt with fresh Alphonso mango pulp. Chilled and refreshing.,18000,SR-bev-mango-lassi-large,https://placehold.co/400x400/0ea5e9/ffffff?text=Mango+Lassi,veg,true,true,2,g0000000-0000-0000-0000-000000000008,size,Large (500ml)
i0000000-0000-0000-0000-000000000033,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000006,Cold Coffee,Blended coffee with chilled milk and ice cream. Creamy bold energising.,14000,SR-bev-cold-coffee-reg,https://placehold.co/400x400/0ea5e9/ffffff?text=Cold+Coffee,veg,true,false,3,g0000000-0000-0000-0000-000000000009,size,Regular (300ml)
i0000000-0000-0000-0000-000000000034,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000006,Cold Coffee,Blended coffee with chilled milk and ice cream. Creamy bold energising.,20000,SR-bev-cold-coffee-large,https://placehold.co/400x400/0ea5e9/ffffff?text=Cold+Coffee,veg,true,false,4,g0000000-0000-0000-0000-000000000009,size,Large (500ml)
i0000000-0000-0000-0000-000000000035,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000006,Masala Chai,Strong spiced tea with ginger cardamom and cinnamon. The perfect Indian warm-up.,4000,SR-bev-masala-chai,https://placehold.co/400x400/0ea5e9/ffffff?text=Masala+Chai,veg,true,false,5,,,
i0000000-0000-0000-0000-000000000036,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000006,Fresh Lime Soda,Freshly squeezed limes over soda with a pinch of chaat masala. Sweet or salted.,8000,SR-bev-fresh-lime-soda,https://placehold.co/400x400/0ea5e9/ffffff?text=Lime+Soda,veg,true,false,6,,,
i0000000-0000-0000-0000-000000000037,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000006,Virgin Mojito,Muddled mint lime juice and soda over crushed ice. Cool and zesty.,14000,SR-bev-virgin-mojito,https://placehold.co/400x400/0ea5e9/ffffff?text=Virgin+Mojito,veg,true,false,7,,,
i0000000-0000-0000-0000-000000000038,b0000000-0000-0000-0000-000000000001,c0000000-0000-0000-0000-000000000006,Watermelon Juice,Cold-pressed fresh watermelon with a hint of mint. Pure summer in a glass.,10000,SR-bev-watermelon-juice,https://placehold.co/400x400/0ea5e9/ffffff?text=Watermelon+Juice,vegan,true,false,8,,,
